PARAM,AVG_TIME,RUN,FAILED
10,1437.2317000000014,1,0
10,1347.322227999998,2,0
10,1369.9459999999992,3,1
50,4172.332454999996,1,0
50,2076.566394999997,2,0
50,1607.003937999999,3,0
100,9648.283824000006,1,1
100,3095.6777410000004,2,0
100,2647.173741,3,1
