PARAM,AVG_TIME,RUN,FAILED
10,1422.251013,1,1
10,1351.4782489999993,2,0
10,1367.1532210000003,3,1
100,1401.8497989999998,1,0
100,1626.3787280000015,2,0
100,1442.7012779999995,3,0
1000,1489.156394,1,0
1000,1494.5016079999978,2,0
1000,1589.4205910000003,3,0
